pokemon_id,name,height,weight
1,bulbasaur,7,69
2,ivysaur,10,130
3,venusaur,20,1000
4,charmander,6,85
5,charmeleon,11,190
6,charizard,17,905
7,squirtle,5,90
8,wartortle,10,225
9,blastoise,16,855
10,caterpie,3,29
11,metapod,7,99
12,butterfree,11,320
13,weedle,3,32
14,kakuna,6,100
15,beedrill,10,295
16,pidgey,3,18
17,pidgeotto,11,300
18,pidgeot,15,395
19,rattata,3,35
20,raticate,7,185
21,spearow,3,20
22,fearow,12,380
23,ekans,20,69
24,arbok,35,650
25,pikachu,4,60
26,raichu,8,300
27,sandshrew,6,120
28,sandslash,10,295
29,nidoran-f,4,70
30,nidorina,8,200
31,nidoqueen,13,600
32,nidoran-m,5,90
33,nidorino,9,195
34,nidoking,14,620
35,clefairy,6,75
36,clefable,13,400
37,vulpix,6,99
38,ninetales,11,199
39,jigglypuff,5,55
40,wigglytuff,10,120
41,zubat,8,75
42,golbat,16,550
43,oddish,5,54
44,gloom,8,86
45,vileplume,12,186
46,paras,3,54
47,parasect,10,295
48,venonat,10,300
49,venomoth,15,125
50,diglett,2,8
51,dugtrio,7,333
52,meowth,4,42
53,persian,10,320
54,psyduck,8,196
55,golduck,17,766
56,mankey,5,280
57,primeape,10,320
58,growlithe,7,190
59,arcanine,19,1550
60,poliwag,6,124
61,poliwhirl,10,200
62,poliwrath,13,540
63,abra,9,195
64,kadabra,13,565
65,alakazam,15,480
66,machop,8,195
67,machoke,15,705
68,machamp,16,1300
69,bellsprout,7,40
70,weepinbell,10,64
71,victreebel,17,155
72,tentacool,9,455
73,tentacruel,16,550
74,geodude,4,200
75,graveler,10,1050
76,golem,14,3000
77,ponyta,10,300
78,rapidash,17,950
79,slowpoke,12,360
80,slowbro,16,785
81,magnemite,3,60
82,magneton,10,600
83,farfetchd,8,150
84,doduo,14,392
85,dodrio,18,852
86,seel,11,900
87,dewgong,17,1200
88,grimer,9,300
89,muk,12,300
90,shellder,3,40
91,cloyster,15,1325
92,gastly,13,1
93,haunter,16,1
94,gengar,15,405
95,onix,88,2100
96,drowzee,10,324
97,hypno,16,756
98,krabby,4,65
99,kingler,13,600
100,voltorb,5,104
101,electrode,12,666
102,exeggcute,4,25
103,exeggutor,20,1200
104,cubone,4,65
105,marowak,10,450
106,hitmonlee,15,498
107,hitmonchan,14,502
108,lickitung,12,655
109,koffing,6,10
110,weezing,12,95
111,rhyhorn,10,1150
112,rhydon,19,1200
113,chansey,11,346
114,tangela,10,350
115,kangaskhan,22,800
116,horsea,4,80
117,seadra,12,250
118,goldeen,6,150
119,seaking,13,390
120,staryu,8,345
121,starmie,11,800
122,mr-mime,13,545
123,scyther,15,560
124,jynx,14,406
125,electabuzz,11,300
126,magmar,13,445
127,pinsir,15,550
128,tauros,14,884
129,magikarp,9,100
130,gyarados,65,2350
131,lapras,25,2200
132,ditto,3,40
133,eevee,3,65
134,vaporeon,10,290
135,jolteon,8,245
136,flareon,9,250
137,porygon,8,365
138,omanyte,4,75
139,omastar,10,350
140,kabuto,5,115
141,kabutops,13,405
142,aerodactyl,18,590
143,snorlax,21,4600
144,articuno,17,554
145,zapdos,16,526
146,moltres,20,600
147,dratini,18,33
148,dragonair,40,165
149,dragonite,22,2100
150,mewtwo,20,1220
151,mew,4,40
152,chikorita,9,64
153,bayleef,12,158
154,meganium,18,1005
155,cyndaquil,5,79
156,quilava,9,190
157,typhlosion,17,795
158,totodile,6,95
159,croconaw,11,250
160,feraligatr,23,888
161,sentret,8,60
162,furret,18,325
163,hoothoot,7,212
164,noctowl,16,408
165,ledyba,10,108
166,ledian,14,356
167,spinarak,5,85
168,ariados,11,335
169,crobat,18,750
170,chinchou,5,120
171,lanturn,12,225
172,pichu,3,20
173,cleffa,3,30
174,igglybuff,3,10
175,togepi,3,15
176,togetic,6,32
177,natu,2,20
178,xatu,15,150
179,mareep,6,78
180,flaaffy,8,133
181,ampharos,14,615
182,bellossom,4,58
183,marill,4,85
184,azumarill,8,285
185,sudowoodo,12,380
186,politoed,11,339
187,hoppip,4,5
188,skiploom,6,10
189,jumpluff,8,30
190,aipom,8,115
191,sunkern,3,18
192,sunflora,8,85
193,yanma,12,380
194,wooper,4,85
195,quagsire,14,750
196,espeon,9,265
197,umbreon,10,270
198,murkrow,5,21
199,slowking,20,795
200,misdreavus,7,10
201,unown,5,50
202,wobbuffet,13,285
203,girafarig,15,415
204,pineco,6,72
205,forretress,12,1258
206,dunsparce,15,140
207,gligar,11,648
208,steelix,92,4000
209,snubbull,6,78
210,granbull,14,487
211,qwilfish,5,39
212,scizor,18,1180
213,shuckle,6,205
214,heracross,15,540
215,sneasel,9,280
216,teddiursa,6,88
217,ursaring,18,1258
218,slugma,7,350
219,magcargo,8,550
220,swinub,4,65
221,piloswine,11,558
222,corsola,6,50
223,remoraid,6,120
224,octillery,9,285
225,delibird,9,160
226,mantine,21,2200
227,skarmory,17,505
228,houndour,6,108
229,houndoom,14,350
230,kingdra,18,1520
231,phanpy,5,335
232,donphan,11,1200
233,porygon2,6,325
234,stantler,14,712
235,smeargle,12,580
236,tyrogue,7,210
237,hitmontop,14,480
238,smoochum,4,60
239,elekid,6,235
240,magby,7,214
241,miltank,12,755
242,blissey,15,468
243,raikou,19,1780
244,entei,21,1980
245,suicune,20,1870
246,larvitar,6,720
247,pupitar,12,1520
248,tyranitar,20,2020
249,lugia,52,2160
250,ho-oh,38,1990
251,celebi,6,50
252,treecko,5,50
253,grovyle,9,216
254,sceptile,17,522
255,torchic,4,25
256,combusken,9,195
257,blaziken,19,520
258,mudkip,4,76
259,marshtomp,7,280
260,swampert,15,819
261,poochyena,5,136
262,mightyena,10,370
263,zigzagoon,4,175
264,linoone,5,325
265,wurmple,3,36
266,silcoon,6,100
267,beautifly,10,284
268,cascoon,7,115
269,dustox,12,316
270,lotad,5,26
271,lombre,12,325
272,ludicolo,15,550
273,seedot,5,40
274,nuzleaf,10,280
275,shiftry,13,596
276,taillow,3,23
277,swellow,7,198
278,wingull,6,95
279,pelipper,12,280
280,ralts,4,66
281,kirlia,8,202
282,gardevoir,16,484
283,surskit,5,17
284,masquerain,8,36
285,shroomish,4,45
286,breloom,12,392
287,slakoth,8,240
288,vigoroth,14,465
289,slaking,20,1305
290,nincada,5,55
291,ninjask,8,120
292,shedinja,8,12
293,whismur,6,163
294,loudred,10,405
295,exploud,15,840
296,makuhita,10,864
297,hariyama,23,2538
298,azurill,2,20
299,nosepass,10,970
300,skitty,6,110
301,delcatty,11,326
302,sableye,5,110
303,mawile,6,115
304,aron,4,600
305,lairon,9,1200
306,aggron,21,3600
307,meditite,6,112
308,medicham,13,315
309,electrike,6,152
310,manectric,15,402
311,plusle,4,42
312,minun,4,42
313,volbeat,7,177
314,illumise,6,177
315,roselia,3,20
316,gulpin,4,103
317,swalot,17,800
318,carvanha,8,208
319,sharpedo,18,888
320,wailmer,20,1300
321,wailord,145,3980
322,numel,7,240
323,camerupt,19,2200
324,torkoal,5,804
325,spoink,7,306
326,grumpig,9,715
327,spinda,11,50
328,trapinch,7,150
329,vibrava,11,153
330,flygon,20,820
331,cacnea,4,513
332,cacturne,13,774
333,swablu,4,12
334,altaria,11,206
335,zangoose,13,403
336,seviper,27,525
337,lunatone,10,1680
338,solrock,12,1540
339,barboach,4,19
340,whiscash,9,236
