pokemon_id,name,rarity,ability_id,type_id_1,type_id_2,weight,height,hp,attack,defense,sp_attack,sp_defense,speed,description
1,bulbasaur,9,65,12,4,69,7,45,49,49,65,65,45,"Bulbasaur can be seen napping in bright sunlight.  There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger."
2,ivysaur,10,65,12,4,130,10,60,62,63,80,80,60,"There is a bud on this Pokemon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong.  If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon."
3,venusaur,10,65,12,4,1000,20,80,82,83,100,100,80,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight.  The flower's aroma soothes the emotions of people.
4,charmander,9,66,10,-1,85,6,39,52,43,60,50,65,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokemon becomes enraged, the flame burns fiercely."
5,charmeleon,10,66,10,-1,190,11,58,64,58,80,65,80,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive.  In this excited state, the flame at the tip of its tail flares with a bluish white color."
6,charizard,10,66,10,3,905,17,78,84,78,109,85,100,"Charizard flies around the sky in search of powerful opponents.  It breathes fire of such great heat that it melts anything.  However, it never turns its fiery breath on any opponent weaker than itself."
7,squirtle,9,67,11,-1,90,5,44,48,65,50,64,43,"Squirtle's shell is not merely used for protection.  The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokemon to swim at high speeds."
8,wartortle,10,67,11,-1,225,10,59,63,80,65,80,58,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages.  The scratches on its shell are evidence of this Pokemon's toughness as a battler."
9,blastoise,10,67,11,-1,855,16,79,83,100,85,105,78,Blastoise has water spouts that protrude from its shell.  The water spouts are very accurate.  They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
10,caterpie,1,19,7,-1,29,3,45,30,35,20,20,45,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokemon releases a terrifically strong odor."
11,metapod,2,61,7,-1,99,7,50,20,55,25,25,30,The shell covering this Pokemon's body is as hard as an iron slab. Metapod does not move very much.  It stays still because it is preparing its soft innards for evolution inside the hard shell.
12,butterfree,4,14,7,3,320,11,60,45,50,90,80,70,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
13,weedle,1,19,7,4,32,3,40,35,30,20,20,50,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
14,kakuna,2,61,7,4,100,6,45,25,50,25,25,35,"Kakuna remains virtually immobile as it clings to a tree.  However, on the inside, it is extremely busy as it prepares for its coming evolution.  This is evident from how hot the shell becomes to the touch."
15,beedrill,4,68,7,4,295,10,65,90,40,45,80,75,"Beedrill is extremely territorial. No one should ever approach its nest-this is for their own safety. If angered, they will attack in a furious swarm."
16,pidgey,1,51,1,3,18,3,40,45,40,35,35,56,"Pidgey has an extremely sharp sense of direction.  It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
17,pidgeotto,1,51,1,3,300,11,63,60,55,50,50,71,"Pidgeotto claims a large area as its own territory. This Pokemon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
18,pidgeot,10,51,1,3,395,15,83,80,75,70,70,101,"This Pokemon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokemon."
19,rattata,1,50,1,-1,35,3,30,56,35,25,35,72,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives-it will make its nest anywhere."
20,raticate,1,50,1,-1,185,7,55,81,60,50,70,97,"Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses."
21,spearow,1,51,1,3,20,3,40,60,30,31,31,70,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
22,fearow,1,51,1,3,380,12,65,90,65,61,61,100,Fearow is recognized by its long neck and elongated beak.  They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.
23,ekans,1,22,4,-1,69,20,35,60,44,40,54,55,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.
24,arbok,2,22,4,-1,650,35,60,95,69,65,79,80,"This Pokemon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible."
25,pikachu,5,9,13,-1,60,4,35,55,40,50,50,90,This Pokemon has electricity-storing pouches on its cheeks.  These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.
26,raichu,5,9,13,-1,300,8,60,90,55,90,80,110,This Pokemon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness.  Raichu plants its tail in the ground to discharge electricity.
